task_id,file,worker,status,mano_cua_status,mano_cua_result,total_steps,compliance,compliance_issues,has_trajectory,trajectory_match,match_confidence,is_duplicate,grade
beautiful-react-hooks-pr368,worker-01/beautiful-react-hooks-pr368.json,worker-01,completed,COMPLETED,abnormal,28,pass,,yes,match,,no,A
beautiful-react-hooks-pr384,worker-01/beautiful-react-hooks-pr384.json,worker-01,completed,COMPLETED,unclear,12,pass,,yes,match,,no,A
beautiful-react-hooks-pr396,worker-01/beautiful-react-hooks-pr396.json,worker-01,completed,COMPLETED,normal,5,pass,,yes,match,,no,A
beautiful-react-hooks-pr426,worker-01/beautiful-react-hooks-pr426.json,worker-01,completed,COMPLETED,unclear,19,pass,,yes,match,,no,A
builder-523,worker-01/builder-523.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
devhub-17,worker-01/devhub-17.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
docz-985,worker-01/docz-985.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
factoriolab-1494,worker-01/factoriolab-1494.json,worker-01,completed,COMPLETED,abnormal,11,pass,,yes,match,,no,A
factoriolab-1585,worker-01/factoriolab-1585.json,worker-01,completed,COMPLETED,normal,45,pass,,yes,match,,no,A
factoriolab-1601,worker-01/factoriolab-1601.json,worker-01,completed,COMPLETED,abnormal,30,pass,,yes,match,,no,A
factoriolab-1693,worker-01/factoriolab-1693.json,worker-01,completed,COMPLETED,normal,37,pass,,yes,match,,no,A
graphviz-visual-editor-215,worker-01/graphviz-visual-editor-215.json,worker-01,completed,COMPLETED,abnormal,18,pass,,yes,match,,no,A
ha-fusion-62,worker-01/ha-fusion-62.json,worker-01,completed,COMPLETED,abnormal,29,pass,,yes,match,,no,A
hassio-trash-card-410,worker-01/hassio-trash-card-410.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
hassio-trash-card-413,worker-01/hassio-trash-card-413.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
hassio-trash-card-441,worker-01/hassio-trash-card-441.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
hassio-trash-card-548,worker-01/hassio-trash-card-548.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
hastic-grafana-app-239,worker-01/hastic-grafana-app-239.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
hastic-grafana-app-401,worker-01/hastic-grafana-app-401.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
jodit-1327,worker-01/jodit-1327.json,worker-01,completed,STOPPED_BY_USER,abnormal,63,pass,,yes,match,,no,A
laverna-540,worker-01/laverna-540.json,worker-01,completed,COMPLETED,unclear,24,pass,,yes,match,,no,A
laverna-850,worker-01/laverna-850.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
laverna-pr669,worker-01/laverna-pr669.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
laverna-pr887,worker-01/laverna-pr887.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
leaflet-geoman-1348,worker-01/leaflet-geoman-1348.json,worker-01,completed,ERROR,abnormal,37,pass,,no_result_desc,N/A,,no,D
leaflet-geoman-1423,worker-01/leaflet-geoman-1423.json,worker-01,completed,STOPPED_BY_USER,unclear,39,pass,,yes,match,,no,A
leaflet-geoman-1478,worker-01/leaflet-geoman-1478.json,worker-01,completed,COMPLETED,unclear,24,pass,,yes,match,,no,A
leaflet-geoman-1508,worker-01/leaflet-geoman-1508.json,worker-01,completed,COMPLETED,normal,13,pass,,yes,match,,no,A
leaflet-geoman-1521,worker-01/leaflet-geoman-1521.json,worker-01,completed,COMPLETED,normal,11,pass,,yes,mismatch,,no,A
leaflet-geoman-1559,worker-01/leaflet-geoman-1559.json,worker-01,completed,COMPLETED,unclear,57,pass,,yes,match,,no,A
leaflet-geoman-1568,worker-01/leaflet-geoman-1568.json,worker-01,completed,COMPLETED,abnormal,37,pass,,yes,match,,no,A
leaflet-geoman-202,worker-01/leaflet-geoman-202.json,worker-01,completed,COMPLETED,normal,20,pass,,yes,match,,no,A
lin-cms-vue-343,worker-01/lin-cms-vue-343.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
mapbox-gl-draw-1124,worker-01/mapbox-gl-draw-1124.json,worker-01,failed,,,,fail,"#7, #16",N/A,N/A,,no,C
mapbox-gl-draw-571,worker-01/mapbox-gl-draw-571.json,worker-01,failed,,,,fail,"#7, #16",N/A,N/A,,no,C
mdx-deck-440,worker-01/mdx-deck-440.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
mini-qr-219,worker-01/mini-qr-219.json,worker-01,completed,STOPPED_BY_USER,unclear,74,fail,#6,no,N/A,,no,D
mint-ui-318,worker-01/mint-ui-318.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
multiple-select-607,worker-01/multiple-select-607.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
multiple-select-65,worker-01/multiple-select-65.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
ngx-quill-pr1293,worker-01/ngx-quill-pr1293.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
ngx-quill-pr1308,worker-01/ngx-quill-pr1308.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
ngx-quill-pr1841,worker-01/ngx-quill-pr1841.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
ngx-quill-pr1877,worker-01/ngx-quill-pr1877.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
ngx-quill-pr1889,worker-01/ngx-quill-pr1889.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
ngx-quill-pr1951,worker-01/ngx-quill-pr1951.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
npmcharts.com-83,worker-01/npmcharts.com-83.json,worker-01,completed,COMPLETED,normal,13,pass,,yes,match,,no,A
npmcharts.com-pr127,worker-01/npmcharts.com-pr127.json,worker-01,completed,COMPLETED,abnormal,8,pass,,yes,match,,no,A
npmcharts.com-pr187,worker-01/npmcharts.com-pr187.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
npmcharts.com-pr89,worker-01/npmcharts.com-pr89.json,worker-01,completed,COMPLETED,abnormal,33,pass,,yes,match,,no,A
nuxt-security-494,worker-01/nuxt-security-494.json,worker-01,completed,STOPPED_BY_USER,unclear,44,pass,,yes,match,,no,A
open5e-721,worker-01/open5e-721.json,worker-01,completed,COMPLETED,abnormal,6,fail,#9,yes,match,,yes,C
open5e-747,worker-01/open5e-747.json,worker-01,completed,COMPLETED,abnormal,82,fail,"#9, #10",yes,match,,yes,C
open5e-803,worker-01/open5e-803.json,worker-01,completed,COMPLETED,abnormal,43,fail,#9,yes,match,,yes,C
open5e-869,worker-01/open5e-869.json,worker-01,completed,COMPLETED,abnormal,30,pass,,yes,match,,no,A
open5e-884,worker-01/open5e-884.json,worker-01,completed,COMPLETED,abnormal,1,pass,,yes,match,,no,A
page-assist-684,worker-01/page-assist-684.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
page-assist-800,worker-01/page-assist-800.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
page-assist-pr134,worker-01/page-assist-pr134.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
page-assist-pr323,worker-01/page-assist-pr323.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
page-assist-pr74,worker-01/page-assist-pr74.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
page-assist-pr757,worker-01/page-assist-pr757.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
photon-330,worker-01/photon-330.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
photon-526,worker-01/photon-526.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
quicktype-142,worker-01/quicktype-142.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
quicktype-455,worker-01/quicktype-455.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
quicktype-497,worker-01/quicktype-497.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
quicktype-523,worker-01/quicktype-523.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
react-notion-x-pr591,worker-01/react-notion-x-pr591.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
react-notion-x-pr677,worker-01/react-notion-x-pr677.json,worker-01,completed,COMPLETED,unclear,69,pass,,yes,match,,no,A
react-notion-x-pr690,worker-01/react-notion-x-pr690.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
react-notion-x-pr691,worker-01/react-notion-x-pr691.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
react-notion-x-pr692,worker-01/react-notion-x-pr692.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
react-notion-x-pr693,worker-01/react-notion-x-pr693.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
react-notion-x-pr694,worker-01/react-notion-x-pr694.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
react-notion-x-pr697,worker-01/react-notion-x-pr697.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
react-player-1957,worker-01/react-player-1957.json,worker-01,completed,COMPLETED,normal,11,pass,,yes,match,,no,A
react-timeline-9000-104,worker-01/react-timeline-9000-104.json,worker-01,completed,COMPLETED,normal,22,pass,,yes,match,,no,A
react-virtualized-1375,worker-01/react-virtualized-1375.json,worker-01,completed,STOPPED_BY_USER,unclear,52,pass,,yes,match,,no,A
rich-markdown-editor-208,worker-01/rich-markdown-editor-208.json,worker-01,completed,COMPLETED,normal,76,pass,,yes,match,,no,A
rich-markdown-editor-447,worker-01/rich-markdown-editor-447.json,worker-01,completed,COMPLETED,normal,45,pass,,yes,match,,no,A
runbox7-1279,worker-01/runbox7-1279.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
shopify-223,worker-01/shopify-223.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
shopify-259,worker-01/shopify-259.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
shopify-264,worker-01/shopify-264.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
shopify-267,worker-01/shopify-267.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
shopify-269,worker-01/shopify-269.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
shopify-274,worker-01/shopify-274.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
shopify-293,worker-01/shopify-293.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
svelte-sonner-31,worker-01/svelte-sonner-31.json,worker-01,completed,COMPLETED,abnormal,66,pass,,yes,match,,no,A
svelte-sonner-pr150,worker-01/svelte-sonner-pr150.json,worker-01,completed,COMPLETED,normal,19,pass,,yes,match,,no,A
svelte-sonner-pr173,worker-01/svelte-sonner-pr173.json,worker-01,completed,STOPPED_BY_USER,unclear,41,pass,,no_result_desc,N/A,,no,D
svelte-sonner-pr57,worker-01/svelte-sonner-pr57.json,worker-01,completed,STOPPED_BY_USER,unclear,65,pass,,yes,match,,no,A
svelte-sonner-pr71,worker-01/svelte-sonner-pr71.json,worker-01,completed,COMPLETED,abnormal,16,pass,,yes,match,,no,A
svelte-sonner-pr83,worker-01/svelte-sonner-pr83.json,worker-01,completed,COMPLETED,abnormal,32,pass,,yes,match,,no,A
svelte-sonner-pr88,worker-01/svelte-sonner-pr88.json,worker-01,completed,COMPLETED,unclear,29,pass,,yes,match,,no,A
svelte-sonner-pr99,worker-01/svelte-sonner-pr99.json,worker-01,completed,STOPPED_BY_USER,unclear,49,pass,,yes,match,,no,A
tailwindcss-960,worker-01/tailwindcss-960.json,worker-01,completed,COMPLETED,normal,34,pass,,yes,match,,no,A
the-graph-174,worker-01/the-graph-174.json,worker-01,completed,STOPPED_BY_USER,unclear,80,pass,,no_result_desc,N/A,,no,D
the-graph-74,worker-01/the-graph-74.json,worker-01,completed,STOPPED_BY_USER,abnormal,80,pass,,yes,match,,no,A
the-graph-76,worker-01/the-graph-76.json,worker-01,completed,STOPPED_BY_USER,unclear,79,pass,,yes,match,,no,A
the-graph-pr118,worker-01/the-graph-pr118.json,worker-01,completed,COMPLETED,unclear,51,pass,,yes,match,,no,A
the-graph-pr122,worker-01/the-graph-pr122.json,worker-01,completed,ERROR,unclear,58,pass,,no_result_desc,N/A,,no,D
the-graph-pr178,worker-01/the-graph-pr178.json,worker-01,completed,COMPLETED,unclear,72,pass,,yes,match,,no,A
the-graph-pr366,worker-01/the-graph-pr366.json,worker-01,completed,COMPLETED,abnormal,20,pass,,yes,match,,no,A
the-graph-pr380,worker-01/the-graph-pr380.json,worker-01,completed,STOPPED_BY_USER,unclear,76,pass,,yes,match,,no,A
typehero-1504,worker-01/typehero-1504.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
typehero-1516,worker-01/typehero-1516.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
typehero-1541,worker-01/typehero-1541.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
typehero-1571,worker-01/typehero-1571.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
typehero-1616,worker-01/typehero-1616.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
typehero-1682,worker-01/typehero-1682.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
typehero-1686,worker-01/typehero-1686.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
typehero-1688,worker-01/typehero-1688.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
typehero-1695,worker-01/typehero-1695.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
typehero-1721,worker-01/typehero-1721.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
typehero-920,worker-01/typehero-920.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
useSend-307,worker-01/useSend-307.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
vue-devui-1567,worker-01/vue-devui-1567.json,worker-01,completed,COMPLETED,abnormal,62,pass,,yes,match,,no,A
whitebophir-48,worker-01/whitebophir-48.json,worker-01,completed,COMPLETED,abnormal,28,pass,,yes,match,,no,A
Analog-259,worker-02/Analog-259.json,worker-02,failed,,,,fail,#9,N/A,N/A,,yes,C
BongoCat-431,worker-02/BongoCat-431.json,worker-02,failed,,,,fail,#9,N/A,N/A,,yes,C
ByteStash-171,worker-02/ByteStash-171.json,worker-02,completed,COMPLETED,abnormal,1,fail,#9,yes,match,,yes,C
ByteStash-46,worker-02/ByteStash-46.json,worker-02,completed,COMPLETED,abnormal,27,fail,#9,yes,match,,yes,C
CatColab-1026,worker-02/CatColab-1026.json,worker-02,failed,,,,warn,#16,N/A,N/A,,no,A
CatColab-1124,worker-02/CatColab-1124.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
CatColab-579,worker-02/CatColab-579.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
CatColab-732,worker-02/CatColab-732.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
CatColab-796,worker-02/CatColab-796.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
CatColab-797,worker-02/CatColab-797.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
CatColab-819,worker-02/CatColab-819.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
CatColab-828,worker-02/CatColab-828.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
Dante-128,worker-02/Dante-128.json,worker-02,failed,,,,fail,#9,N/A,N/A,,yes,C
Piped-3715,worker-02/Piped-3715.json,worker-02,completed,COMPLETED,unclear,47,fail,#9,yes,match,,yes,C
RapidRAW-658,worker-02/RapidRAW-658.json,worker-02,failed,,,,warn,#16,N/A,N/A,,no,A
Semantic-UI-React-3683,worker-02/Semantic-UI-React-3683.json,worker-02,completed,COMPLETED,normal,70,pass,,yes,match,,no,A
Semantic-UI-React-3750,worker-02/Semantic-UI-React-3750.json,worker-02,completed,COMPLETED,normal,32,pass,,yes,mismatch,,no,A
Semantic-UI-React-3864,worker-02/Semantic-UI-React-3864.json,worker-02,completed,COMPLETED,normal,87,warn,#10,yes,match,,no,B
Semantic-UI-React-3994,worker-02/Semantic-UI-React-3994.json,worker-02,completed,COMPLETED,normal,18,pass,,yes,match,,no,A
Semantic-UI-React-4005,worker-02/Semantic-UI-React-4005.json,worker-02,completed,COMPLETED,abnormal,10,pass,,yes,match,,no,A
Semantic-UI-React-4083,worker-02/Semantic-UI-React-4083.json,worker-02,completed,COMPLETED,unclear,51,pass,,yes,match,,no,A
Semantic-UI-React-4110,worker-02/Semantic-UI-React-4110.json,worker-02,completed,COMPLETED,unclear,49,pass,,yes,match,,no,A
Silex-743,worker-02/Silex-743.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
Silex-843,worker-02/Silex-843.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
TiddlyWiki5-9788,worker-02/TiddlyWiki5-9788.json,worker-02,completed,COMPLETED,abnormal,24,pass,,yes,match,,no,A
angular-calendar-769,worker-02/angular-calendar-769.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
angular-datatables-1605,worker-02/angular-datatables-1605.json,worker-02,completed,COMPLETED,abnormal,9,pass,,yes,match,,no,A
angular-datatables-1723,worker-02/angular-datatables-1723.json,worker-02,completed,COMPLETED,abnormal,110,warn,#10,yes,match,,no,B
angular-datepicker-112,worker-02/angular-datepicker-112.json,worker-02,completed,COMPLETED,abnormal,88,warn,#10,yes,match,,no,B
angular-gridster2-377,worker-02/angular-gridster2-377.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
angular-gridster2-529,worker-02/angular-gridster2-529.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
apisix-dashboard-2572,worker-02/apisix-dashboard-2572.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
apisix-dashboard-3276,worker-02/apisix-dashboard-3276.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
apisix-dashboard-3283,worker-02/apisix-dashboard-3283.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
apisix-dashboard-3362,worker-02/apisix-dashboard-3362.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
betaflight-configurator-4700,worker-02/betaflight-configurator-4700.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
blinko-323,worker-02/blinko-323.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
blinko-363,worker-02/blinko-363.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
blinko-435,worker-02/blinko-435.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
blinko-495,worker-02/blinko-495.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
calendar-card-pro-169,worker-02/calendar-card-pro-169.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
calendar-card-pro-174,worker-02/calendar-card-pro-174.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
calendar-card-pro-175,worker-02/calendar-card-pro-175.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
calendar-card-pro-180,worker-02/calendar-card-pro-180.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
calendar-card-pro-214,worker-02/calendar-card-pro-214.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
calendar-card-pro-219,worker-02/calendar-card-pro-219.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
calendar-card-pro-252,worker-02/calendar-card-pro-252.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
calendar-card-pro-259,worker-02/calendar-card-pro-259.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
components-127,worker-02/components-127.json,worker-02,completed,KILLED,unclear,38,pass,,yes,match,,no,A
components-pr172,worker-02/components-pr172.json,worker-02,completed,COMPLETED,unclear,45,pass,,yes,error,,no,A
components-pr201,worker-02/components-pr201.json,worker-02,completed,COMPLETED,unclear,54,pass,,yes,match,,no,A
components-pr30,worker-02/components-pr30.json,worker-02,completed,ERROR,unclear,11,pass,,yes,match,,no,A
components-pr54,worker-02/components-pr54.json,worker-02,completed,KILLED,unclear,62,pass,,yes,match,,no,A
condenser-3685,worker-02/condenser-3685.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
condenser-3697,worker-02/condenser-3697.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
condenser-3717,worker-02/condenser-3717.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
core-240,worker-02/core-240.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
cryptgeon-150,worker-02/cryptgeon-150.json,worker-02,failed,,,,fail,#9,N/A,N/A,,yes,C
editable-64,worker-02/editable-64.json,worker-02,completed,COMPLETED,normal,7,pass,,yes,error,,no,A
editable-72,worker-02/editable-72.json,worker-02,failed,,,,fail,"#2, #7",N/A,N/A,,no,C
editable-81,worker-02/editable-81.json,worker-02,completed,SKIPPED,unclear,0,fail,#6,no,N/A,,no,D
editable-pr129,worker-02/editable-pr129.json,worker-02,failed,,,,fail,"#2, #7",N/A,N/A,,no,C
editor.js-2084,worker-02/editor.js-2084.json,worker-02,completed,ERROR,abnormal,13,pass,,yes,match,,no,A
editor.js-2089,worker-02/editor.js-2089.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
flitter-68,worker-02/flitter-68.json,worker-02,completed,COMPLETED,unclear,99,warn,#10,yes,match,,no,B
fonts-135,worker-02/fonts-135.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
fonts-240,worker-02/fonts-240.json,worker-02,failed,,,,warn,#16,N/A,N/A,,no,A
fonts-242,worker-02/fonts-242.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
fonts-291,worker-02/fonts-291.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
jingo-261,worker-02/jingo-261.json,worker-02,completed,COMPLETED,abnormal,1,pass,,yes,match,,no,A
jingo-pr189,worker-02/jingo-pr189.json,worker-02,completed,STOPPED_BY_TIMEOUT,unclear,20,pass,,no_result_desc,N/A,,no,D
jingo-pr222,worker-02/jingo-pr222.json,worker-02,completed,STOPPED_BY_TIMEOUT,abnormal,22,pass,,yes,match,,no,A
jingo-pr28,worker-02/jingo-pr28.json,worker-02,completed,COMPLETED,abnormal,18,pass,,yes,match,,no,A
jingo-pr50,worker-02/jingo-pr50.json,worker-02,completed,ERROR,unclear,92,warn,#10,yes,match,,no,B
jingo-pr88,worker-02/jingo-pr88.json,worker-02,completed,COMPLETED,abnormal,11,pass,,yes,match,,no,A
jodit-1335,worker-02/jodit-1335.json,worker-02,done,,,28,fail,#3,no,N/A,,no,C
kan-206,worker-02/kan-206.json,worker-02,failed,,,,fail,#9,N/A,N/A,,yes,C
kan-23,worker-02/kan-23.json,worker-02,failed,,,,fail,#9,N/A,N/A,,yes,C
kan-242,worker-02/kan-242.json,worker-02,failed,,,,fail,#9,N/A,N/A,,yes,C
kan-27,worker-02/kan-27.json,worker-02,failed,,,,fail,#9,N/A,N/A,,yes,C
kan-30,worker-02/kan-30.json,worker-02,failed,,,,fail,#9,N/A,N/A,,yes,C
kan-334,worker-02/kan-334.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
kan-35,worker-02/kan-35.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
kan-376,worker-02/kan-376.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
kan-70,worker-02/kan-70.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
kan-71,worker-02/kan-71.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
kaneo-1168,worker-02/kaneo-1168.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
kaneo-1175,worker-02/kaneo-1175.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
kaneo-849,worker-02/kaneo-849.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
karakeep-2299,worker-02/karakeep-2299.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
karakeep-2395,worker-02/karakeep-2395.json,worker-02,completed,COMPLETED,unclear,74,pass,,yes,match,,no,A
karakeep-2396,worker-02/karakeep-2396.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
karakeep-2493,worker-02/karakeep-2493.json,worker-02,failed,,,,pass,,N/A,N/A,,no,A
kirimase-163,worker-02/kirimase-163.json,worker-02,deploy_failed,,,,fail,"#2, #3",no,N/A,,no,C
learn.svelte.dev-164,worker-02/learn.svelte.dev-164.json,worker-02,completed,COMPLETED,abnormal,78,pass,,yes,match,,no,A
learn.svelte.dev-360,worker-02/learn.svelte.dev-360.json,worker-02,completed,COMPLETED,abnormal,86,warn,#10,yes,match,,no,B
mavonEditor-649,worker-02/mavonEditor-649.json,worker-02,completed,STOPPED_BY_USER,unclear,26,fail,#4,no_result_desc,N/A,,no,D
mavonEditor-729,worker-02/mavonEditor-729.json,worker-02,completed,STOPPED_BY_USER,unclear,47,fail,#4,no_result_desc,N/A,,no,D
mavonEditor-737,worker-02/mavonEditor-737.json,worker-02,failed,,,,fail,#7,N/A,N/A,,no,C
mavonEditor-pr640,worker-02/mavonEditor-pr640.json,worker-02,completed,STOPPED_BY_USER,unclear,38,fail,#4,no_result_desc,N/A,,no,D
mavonEditor-pr661,worker-02/mavonEditor-pr661.json,worker-02,completed,STOPPED_BY_TIMEOUT,unclear,37,pass,,no_result_desc,N/A,,no,D
